MPI version
/var/spool/slurm/d/job11947/slurm_script: line 6: cd: mandelbrotSet/src: No such file or directory
mandelbrot_set.c(333): warning #266: function "sched_getcpu" declared implicitly
    return  sched_getcpu( );
            ^



MPI EXECUTION with 2 processes
Process 1; WTime: 1024.045735
Process 0; WTime: 1024.032689


MPI EXECUTION with 4 processes
Process 2; WTime: 331.368174
Process 0; WTime: 331.368105
Process 3; WTime: 331.368147
Process 1; WTime: 331.368596


MPI EXECUTION with 8 processes
Process 0; WTime: 157.910477
Process 1; WTime: 157.910526
Process 2; WTime: 157.910551
Process 3; WTime: 157.910559
Process 4; WTime: 157.910628
Process 6; WTime: 157.910641
Process 7; WTime: 157.910589
Process 5; WTime: 157.910948


MPI EXECUTION with 16 processes
Process 4; WTime: 75.505868
Process 6; WTime: 75.505791
Process 7; WTime: 75.505805
Process 8; WTime: 75.505803
Process 9; WTime: 75.505753
Process 10; WTime: 75.505741
Process 11; WTime: 75.505808
Process 12; WTime: 75.505750
Process 13; WTime: 75.505760
Process 14; WTime: 75.505724
Process 15; WTime: 75.505820
Process 0; WTime: 75.505628
Process 1; WTime: 75.505706
Process 2; WTime: 75.505788
Process 3; WTime: 75.505827
Process 5; WTime: 75.506249


MPI EXECUTION with 24 processes
Process 18; WTime: 50.692847
Process 19; WTime: 50.692968
Process 20; WTime: 50.693032
Process 21; WTime: 50.692912
Process 22; WTime: 50.692939
Process 23; WTime: 50.692928
Process 0; WTime: 50.692858
Process 2; WTime: 50.692927
Process 3; WTime: 50.693116
Process 4; WTime: 50.693019
Process 5; WTime: 50.692977
Process 6; WTime: 50.693018
Process 7; WTime: 50.692996
Process 8; WTime: 50.692994
Process 9; WTime: 50.693051
Process 10; WTime: 50.692988
Process 11; WTime: 50.692966
Process 12; WTime: 50.693026
Process 13; WTime: 50.693101
Process 14; WTime: 50.693024
Process 15; WTime: 50.692976
Process 16; WTime: 50.693047
Process 17; WTime: 50.692994
Process 1; WTime: 50.693397


MPI EXECUTION with 32 processes
Process 10; WTime: 36.912196
Process 11; WTime: 36.911930
Process 12; WTime: 36.912079
Process 18; WTime: 36.911907
Process 19; WTime: 36.911947
Process 21; WTime: 36.912083
Process 22; WTime: 36.911976
Process 23; WTime: 36.912115
Process 24; WTime: 36.911798
Process 25; WTime: 36.911914
Process 26; WTime: 36.912080
Process 27; WTime: 36.912114
Process 28; WTime: 36.911953
Process 30; WTime: 36.912124
Process 31; WTime: 36.912084
Process 0; WTime: 36.911829
Process 1; WTime: 36.911938
Process 2; WTime: 36.912079
Process 3; WTime: 36.911974
Process 5; WTime: 36.911969
Process 6; WTime: 36.912087
Process 7; WTime: 36.912055
Process 8; WTime: 36.912215
Process 9; WTime: 36.912091
Process 13; WTime: 36.912099
Process 14; WTime: 36.911952
Process 15; WTime: 36.912138
Process 16; WTime: 36.911978
Process 17; WTime: 36.912126
Process 20; WTime: 36.912181
Process 29; WTime: 36.912115
Process 4; WTime: 36.912541
