MPI version - weak scaling
/var/spool/slurm/d/job12010/slurm_script: line 6: cd: mandelbrotSet/src: No such file or directory
mandelbrot_set.c(333): warning #266: function "sched_getcpu" declared implicitly
    return  sched_getcpu( );
            ^



MPI EXECUTION with 2 processes
Process 0; WTime: 64.437391
Process 1; WTime: 64.437998


MPI EXECUTION with 4 processes
Process 2; WTime: 41.744514
Process 3; WTime: 41.744654
Process 0; WTime: 41.744411
Process 1; WTime: 41.745054


MPI EXECUTION with 8 processes
Process 4; WTime: 43.549853
Process 5; WTime: 43.549861
Process 7; WTime: 43.549832
Process 0; WTime: 43.549778
Process 1; WTime: 43.549787
Process 2; WTime: 43.549888
Process 3; WTime: 43.549849
Process 6; WTime: 43.550370


MPI EXECUTION with 16 processes
Process 2; WTime: 39.477362
Process 3; WTime: 39.477462
Process 4; WTime: 39.477376
Process 5; WTime: 39.477361
Process 7; WTime: 39.477457
Process 8; WTime: 39.477421
Process 9; WTime: 39.477325
Process 10; WTime: 39.477443
Process 11; WTime: 39.477475
Process 13; WTime: 39.477485
Process 14; WTime: 39.477319
Process 15; WTime: 39.477480
Process 0; WTime: 39.477284
Process 1; WTime: 39.477450
Process 12; WTime: 39.477476
Process 6; WTime: 39.477832


MPI EXECUTION with 24 processes
Process 2; WTime: 38.525538
Process 8; WTime: 38.525612
Process 11; WTime: 38.525502
Process 12; WTime: 38.525618
Process 13; WTime: 38.525517
Process 14; WTime: 38.525628
Process 15; WTime: 38.525535
Process 16; WTime: 38.525569
Process 17; WTime: 38.525564
Process 18; WTime: 38.525626
Process 19; WTime: 38.525581
Process 20; WTime: 38.525543
Process 21; WTime: 38.525429
Process 22; WTime: 38.525553
Process 23; WTime: 38.525488
Process 0; WTime: 38.525085
Process 1; WTime: 38.525648
Process 3; WTime: 38.525136
Process 4; WTime: 38.525526
Process 5; WTime: 38.525585
Process 7; WTime: 38.525443
Process 9; WTime: 38.525505
Process 10; WTime: 38.525585
Process 6; WTime: 38.526040


MPI EXECUTION with 32 processes
Process 12; WTime: 37.910168
Process 13; WTime: 37.910251
Process 14; WTime: 37.909287
Process 15; WTime: 37.910227
Process 16; WTime: 37.910111
Process 17; WTime: 37.910178
Process 18; WTime: 37.910256
Process 19; WTime: 37.910178
Process 20; WTime: 37.910133
Process 21; WTime: 37.910179
Process 22; WTime: 37.910261
Process 23; WTime: 37.910217
Process 24; WTime: 37.910130
Process 25; WTime: 37.910069
Process 26; WTime: 37.910159
Process 27; WTime: 37.910221
Process 28; WTime: 37.910178
Process 29; WTime: 37.910242
Process 30; WTime: 37.910288
Process 31; WTime: 37.910073
Process 0; WTime: 37.910003
Process 1; WTime: 37.910167
Process 3; WTime: 37.910054
Process 4; WTime: 37.910065
Process 5; WTime: 37.910095
Process 6; WTime: 37.910257
Process 7; WTime: 37.910249
Process 8; WTime: 37.910288
Process 9; WTime: 37.910247
Process 10; WTime: 37.910274
Process 11; WTime: 37.910214
Process 2; WTime: 37.910620
